                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3047,                 4.7829,                  1.707,                 1.0779,                 8.0587,                 1.5814,                0.00498,                0.86904,                0.02419,                0.01463,                 1.0965,                 5.1114,                 1.7168,                 0.9575,                 12.956,                 1.6359,             4.8767e-05,             4.8767e-05,             4.8767e-05
                      2,                 1.1111,                 4.2517,                 1.4846,                0.90739,                 7.1015,                 1.3576,                0.46451,                0.10058,                0.09925,                0.06696,                 1.1912,                 4.4389,                 1.6944,                  1.024,                 11.175,                 1.5962,              9.454e-05,              9.454e-05,              9.454e-05
                      3,                  1.163,                 3.6726,                 1.4943,                0.95822,                 6.2317,                 1.3639,                0.42159,                0.23313,                0.22698,                0.15701,                 1.1503,                 3.6728,                 1.7143,                 1.0679,                 9.3525,                 1.6482,             0.00013708,             0.00013708,             0.00013708
                      4,                 1.1605,                 3.1221,                 1.4727,                 1.0035,                 5.2429,                 1.3723,                 0.4575,                 0.4223,                0.42375,                0.30165,                 1.1265,                 2.9182,                 1.6828,                 1.0753,                 7.3898,                 1.6301,             0.00013245,             0.00013245,             0.00013245
                      5,                 1.1414,                 2.7232,                 1.4518,                 1.0088,                 4.4947,                 1.3693,                0.48817,                 0.5594,                0.56348,                0.39969,                 1.0601,                 2.3885,                 1.5828,                 1.0508,                  5.978,                 1.5841,             0.00013245,             0.00013245,             0.00013245
                      6,                  1.109,                  2.418,                 1.4251,                 1.0015,                 3.9205,                 1.3585,                0.58639,                0.64363,                0.69828,                0.49376,                 1.0957,                 1.9772,                 1.5994,                 1.0637,                 4.9612,                 1.6065,              0.0001276,              0.0001276,              0.0001276
                      7,                 1.0879,                 2.1818,                 1.4065,                0.99898,                 3.5073,                 1.3525,                0.59554,                0.68179,                0.72606,                 0.5305,                  1.014,                 1.7599,                 1.5624,                 1.0088,                  4.345,                 1.5583,             0.00012275,             0.00012275,             0.00012275
                      8,                 1.0657,                 1.9931,                 1.3969,                0.98933,                  3.187,                 1.3474,                0.68565,                0.73326,                0.80025,                0.58485,                  1.009,                 1.4661,                 1.5402,                0.99488,                 3.7259,                 1.5463,             0.00011789,             0.00011789,             0.00011789
                      9,                 1.0369,                   1.83,                 1.3726,                0.97569,                 2.9077,                 1.3326,                0.72894,                0.77804,                0.85849,                0.64134,                0.97991,                 1.3452,                 1.5051,                0.97202,                 3.1855,                 1.5096,             0.00011304,             0.00011304,             0.00011304
                     10,                 1.0318,                 1.7103,                 1.3662,                0.97658,                  2.693,                 1.3296,                0.75199,                0.82462,                0.88212,                0.65161,                0.96278,                 1.1802,                 1.4957,                0.96184,                 2.8014,                 1.5069,             0.00010819,             0.00010819,             0.00010819
