epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.388,1.39125,4.96731,1.77148,0.31441,0.26262,0.18513,0.12084,1.19169,2.70258,1.78921,4.88831e-05,4.88831e-05,4.88831e-05
2,330.749,1.20927,3.02072,1.54355,0.47432,0.55924,0.5325,0.35546,1.1748,1.80898,1.76958,9.14228e-05,9.14228e-05,9.14228e-05
3,490.22,1.16827,2.36586,1.49696,0.64158,0.67798,0.72605,0.50082,1.11394,1.41844,1.68805,0.000127494,0.000127494,0.000127494
4,648.009,1.14264,1.98196,1.47241,0.77023,0.80404,0.88482,0.62446,1.05831,1.00009,1.6086,0.000117894,0.000117894,0.000117894
5,805.759,1.09992,1.69469,1.42583,0.84687,0.87017,0.93656,0.67152,1.03185,0.80367,1.5858,0.000108192,0.000108192,0.000108192
6,960.911,0.96612,0.85816,1.50168,0.92174,0.94355,0.97665,0.70768,1.00697,0.58668,1.53011,9.849e-05,9.849e-05,9.849e-05
7,1116.44,0.91764,0.67213,1.45118,0.94733,0.95513,0.98333,0.73097,0.9682,0.52764,1.5028,8.8788e-05,8.8788e-05,8.8788e-05
8,1270.27,0.88502,0.56514,1.41339,0.97319,0.96187,0.99102,0.74337,0.96346,0.46955,1.496,7.9086e-05,7.9086e-05,7.9086e-05
9,1425.19,0.86044,0.49179,1.40264,0.95906,0.98381,0.99078,0.74571,0.93117,0.41826,1.4617,6.9384e-05,6.9384e-05,6.9384e-05
10,1577.17,0.84851,0.45423,1.38188,0.97898,0.98903,0.99311,0.76051,0.91921,0.38807,1.45674,5.9682e-05,5.9682e-05,5.9682e-05
11,1730.93,0.82612,0.41884,1.36395,0.9849,0.98671,0.99144,0.76051,0.89778,0.36388,1.43027,4.998e-05,4.998e-05,4.998e-05
12,1885.21,0.80106,0.38552,1.34226,0.9906,0.99128,0.99443,0.77265,0.88345,0.34929,1.43293,4.0278e-05,4.0278e-05,4.0278e-05
13,2039.25,0.78375,0.35763,1.32209,0.98934,0.99129,0.99374,0.77385,0.87187,0.33512,1.40951,3.0576e-05,3.0576e-05,3.0576e-05
14,2194.61,0.76706,0.33873,1.30825,0.99012,0.98996,0.99413,0.77761,0.86444,0.32998,1.40167,2.0874e-05,2.0874e-05,2.0874e-05
15,2348.17,0.7515,0.32595,1.29143,0.99053,0.99187,0.99422,0.78069,0.85159,0.32022,1.39322,1.1172e-05,1.1172e-05,1.1172e-05
