epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,169.761,1.38161,4.97976,1.75916,0.36823,0.27839,0.19046,0.12633,1.21066,2.66602,1.76317,4.88831e-05,4.88831e-05,4.88831e-05
2,328.996,1.21161,3.00593,1.53633,0.43493,0.58684,0.51872,0.33773,1.17607,1.82865,1.71651,9.46529e-05,9.46529e-05,9.46529e-05
3,486.035,1.17712,2.36352,1.50135,0.68928,0.60398,0.72305,0.48774,1.16169,1.49652,1.75293,0.000137189,0.000137189,0.000137189
4,641.476,1.15016,1.97158,1.46922,0.7739,0.81446,0.88201,0.61169,1.09344,0.99095,1.65185,0.000132447,0.000132447,0.000132447
5,798.632,1.10498,1.69584,1.42689,0.79992,0.84672,0.91495,0.64587,1.06137,0.86637,1.61062,0.000127596,0.000127596,0.000127596
6,954.901,1.08393,1.52173,1.4116,0.87226,0.90545,0.95867,0.6895,1.03928,0.69791,1.56424,0.000122745,0.000122745,0.000122745
7,1110.24,1.07228,1.38026,1.40292,0.89868,0.92227,0.96885,0.70771,1.01446,0.64004,1.54913,0.000117894,0.000117894,0.000117894
8,1266.52,1.03889,1.25552,1.37652,0.94983,0.94837,0.98171,0.71811,1.00222,0.53788,1.5302,0.000113043,0.000113043,0.000113043
9,1422.46,1.02715,1.18342,1.36446,0.95352,0.94197,0.98417,0.72488,0.98838,0.53094,1.52238,0.000108192,0.000108192,0.000108192
10,1579.11,1.00763,1.11133,1.35511,0.95659,0.9628,0.98644,0.73228,0.9919,0.49949,1.51361,0.000103341,0.000103341,0.000103341
11,1734.06,1.00073,1.0578,1.34021,0.96567,0.96887,0.98929,0.74448,0.9568,0.46163,1.48608,9.849e-05,9.849e-05,9.849e-05
12,1889.59,0.97778,1.00431,1.32979,0.97212,0.97305,0.99104,0.74326,0.96037,0.43422,1.49855,9.3639e-05,9.3639e-05,9.3639e-05
13,2046.67,0.96245,0.96491,1.32528,0.96237,0.98101,0.99147,0.74987,0.94569,0.41622,1.4779,8.8788e-05,8.8788e-05,8.8788e-05
14,2203.1,0.9517,0.92045,1.31396,0.97889,0.97988,0.99323,0.75162,0.95169,0.40319,1.47727,8.3937e-05,8.3937e-05,8.3937e-05
15,2358.95,0.95243,0.87757,1.30989,0.97808,0.98692,0.99352,0.75905,0.93583,0.39779,1.46974,7.9086e-05,7.9086e-05,7.9086e-05
16,2514.55,0.93145,0.85165,1.29979,0.98229,0.98882,0.99305,0.76021,0.92216,0.38237,1.45617,7.4235e-05,7.4235e-05,7.4235e-05
17,2669.96,0.92897,0.82113,1.29832,0.9866,0.99139,0.99379,0.76048,0.91816,0.37197,1.44903,6.9384e-05,6.9384e-05,6.9384e-05
18,2826.03,0.92096,0.79802,1.28928,0.98,0.98821,0.99267,0.7629,0.90959,0.37386,1.44655,6.4533e-05,6.4533e-05,6.4533e-05
19,2983.08,0.91065,0.76398,1.28297,0.98452,0.9924,0.99402,0.76761,0.90436,0.35462,1.43884,5.9682e-05,5.9682e-05,5.9682e-05
20,3139.25,0.8989,0.75978,1.27591,0.98659,0.98973,0.99408,0.77347,0.89908,0.34919,1.4307,5.4831e-05,5.4831e-05,5.4831e-05
21,3294.05,0.79939,0.37125,1.34007,0.98687,0.99145,0.99432,0.77233,0.90101,0.35208,1.43138,4.998e-05,4.998e-05,4.998e-05
22,3447.23,0.78229,0.34684,1.33049,0.98728,0.99415,0.99414,0.77934,0.89362,0.33575,1.42603,4.5129e-05,4.5129e-05,4.5129e-05
23,3599.19,0.77262,0.33568,1.31607,0.98685,0.99269,0.9932,0.77272,0.90593,0.34569,1.4499,4.0278e-05,4.0278e-05,4.0278e-05
24,3752.3,0.76456,0.32274,1.30929,0.99057,0.99299,0.99445,0.78259,0.88601,0.32475,1.42462,3.5427e-05,3.5427e-05,3.5427e-05
25,3904.06,0.75084,0.31218,1.2989,0.98974,0.99672,0.99382,0.78562,0.87269,0.31647,1.42136,3.0576e-05,3.0576e-05,3.0576e-05
26,4056.71,0.74048,0.30249,1.28072,0.99022,0.99479,0.99434,0.7861,0.87131,0.31294,1.41123,2.5725e-05,2.5725e-05,2.5725e-05
27,4209.85,0.72677,0.29543,1.27899,0.98997,0.99441,0.9942,0.78744,0.874,0.31083,1.41458,2.0874e-05,2.0874e-05,2.0874e-05
28,4362.11,0.71736,0.28907,1.26919,0.99094,0.99395,0.99425,0.7874,0.87524,0.30932,1.41956,1.6023e-05,1.6023e-05,1.6023e-05
29,4514.49,0.71291,0.28423,1.26648,0.99068,0.99582,0.99465,0.79113,0.86744,0.30455,1.41344,1.1172e-05,1.1172e-05,1.1172e-05
30,4668.42,0.70525,0.28033,1.26079,0.99116,0.99626,0.99399,0.79234,0.86856,0.30263,1.41255,6.321e-06,6.321e-06,6.321e-06
