epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,173.035,3.12268,5.76125,4.18464,0.00075,0.02943,0.00058,0.00022,2.49367,4.40229,3.74623,4.88831e-05,4.88831e-05,4.88831e-05
2,331.059,2.76571,5.64663,3.68463,0.00339,0.31684,0.006,0.0021,1.98234,4.02618,2.9203,9.14228e-05,9.14228e-05,9.14228e-05
3,487.338,2.30092,5.24444,2.98163,0.00342,0.70666,0.01286,0.00472,1.71776,3.71478,2.47388,0.000127494,0.000127494,0.000127494
4,645.612,1.97621,4.54401,2.43099,0.00478,0.95392,0.03954,0.01776,1.63232,3.31158,2.33991,0.000117894,0.000117894,0.000117894
5,802.23,1.74583,4.01628,2.12338,0.40547,0.08519,0.06256,0.03449,1.42389,3.01676,2.10466,0.000108192,0.000108192,0.000108192
6,952.456,1.42471,3.67278,2.06432,0.28464,0.21619,0.1411,0.08578,1.33535,2.68186,1.95823,9.849e-05,9.849e-05,9.849e-05
7,1102.24,1.33597,3.25342,1.93152,0.31838,0.28533,0.20097,0.12652,1.32865,2.53291,1.92489,8.8788e-05,8.8788e-05,8.8788e-05
8,1247.51,1.28645,3.00923,1.86587,0.26235,0.38916,0.26221,0.16254,1.35895,2.34661,1.91534,7.9086e-05,7.9086e-05,7.9086e-05
9,1395.91,1.26258,2.82661,1.83889,0.29562,0.46764,0.33665,0.22054,1.22758,2.19589,1.82169,6.9384e-05,6.9384e-05,6.9384e-05
10,1544.12,1.22792,2.68322,1.79323,0.31503,0.48826,0.37232,0.25162,1.21125,2.1165,1.8075,5.9682e-05,5.9682e-05,5.9682e-05
11,1690.85,1.20388,2.58265,1.77252,0.34096,0.50929,0.41618,0.28498,1.20189,2.04766,1.78628,4.998e-05,4.998e-05,4.998e-05
12,1839.85,1.19028,2.49017,1.7538,0.37737,0.49519,0.44632,0.30515,1.18747,1.99468,1.77034,4.0278e-05,4.0278e-05,4.0278e-05
13,1987.25,1.16755,2.43604,1.72884,0.36686,0.52106,0.46658,0.32321,1.16994,1.9398,1.75337,3.0576e-05,3.0576e-05,3.0576e-05
14,2134.04,1.1569,2.37771,1.71814,0.40743,0.51369,0.48782,0.3392,1.15616,1.89724,1.74284,2.0874e-05,2.0874e-05,2.0874e-05
15,2281.88,1.13812,2.34774,1.70067,0.39067,0.55358,0.49943,0.3527,1.13956,1.88307,1.72672,1.1172e-05,1.1172e-05,1.1172e-05
