epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,160.826,3.11014,5.76162,4.16776,0.00038,0.01346,0.00025,7e-05,2.38495,4.34906,3.63557,4.88831e-05,4.88831e-05,4.88831e-05
2,311.675,2.73395,5.63305,3.62626,0.00303,0.17779,0.00327,0.00116,2.05547,4.03541,2.8994,9.46529e-05,9.46529e-05,9.46529e-05
3,461.011,2.20904,5.10226,2.83525,0.00285,0.82596,0.01194,0.00498,1.67864,3.76568,2.40207,0.000137189,0.000137189,0.000137189
4,607.185,1.84677,4.32805,2.27848,0.00585,0.98416,0.04059,0.02159,1.4706,3.14015,2.1578,0.000132447,0.000132447,0.000132447
5,753.592,1.67421,3.87527,2.05361,0.02565,0.62283,0.06352,0.03824,1.40112,2.9795,2.09007,0.000127596,0.000127596,0.000127596
6,900.233,1.57944,3.63591,1.94856,0.03672,0.69186,0.09069,0.05433,1.38282,2.82728,2.02484,0.000122745,0.000122745,0.000122745
7,1047.25,1.51256,3.47319,1.8852,0.15564,0.35966,0.11782,0.07098,1.30869,2.69045,1.96402,0.000117894,0.000117894,0.000117894
8,1194.29,1.47455,3.33478,1.8438,0.3065,0.27509,0.12746,0.07962,1.31696,2.58963,1.94316,0.000113043,0.000113043,0.000113043
9,1339.94,1.44425,3.24298,1.80983,0.25254,0.28681,0.17591,0.11474,1.30671,2.47147,1.91514,0.000108192,0.000108192,0.000108192
10,1488.1,1.41312,3.14264,1.77772,0.25216,0.31153,0.19937,0.12263,1.33724,2.39372,1.91125,0.000103341,0.000103341,0.000103341
11,1634.86,1.40632,3.07004,1.76123,0.30461,0.38188,0.23322,0.14733,1.28316,2.29053,1.87953,9.849e-05,9.849e-05,9.849e-05
12,1780.98,1.38518,3.01088,1.74252,0.34769,0.38606,0.28255,0.17908,1.27376,2.23699,1.84357,9.3639e-05,9.3639e-05,9.3639e-05
13,1927.74,1.35969,2.92869,1.72347,0.37357,0.42249,0.31444,0.20558,1.22824,2.16078,1.8277,8.8788e-05,8.8788e-05,8.8788e-05
14,2072.82,1.34423,2.87718,1.70954,0.35747,0.42366,0.32049,0.21199,1.25239,2.14142,1.81358,8.3937e-05,8.3937e-05,8.3937e-05
15,2219.48,1.34484,2.8328,1.70542,0.3549,0.44329,0.34594,0.23417,1.22045,2.0717,1.81133,7.9086e-05,7.9086e-05,7.9086e-05
16,2365.72,1.32617,2.78884,1.69052,0.39646,0.45729,0.37247,0.25129,1.1989,2.01818,1.78931,7.4235e-05,7.4235e-05,7.4235e-05
17,2513.06,1.31406,2.74543,1.68095,0.35421,0.47657,0.40007,0.2643,1.21615,1.98128,1.812,6.9384e-05,6.9384e-05,6.9384e-05
18,2658.47,1.30502,2.70423,1.66382,0.37326,0.48286,0.42401,0.29368,1.15993,1.95203,1.75047,6.4533e-05,6.4533e-05,6.4533e-05
19,2803.49,1.30355,2.66016,1.65826,0.44759,0.51034,0.44445,0.30587,1.1647,1.89617,1.74096,5.9682e-05,5.9682e-05,5.9682e-05
20,2948.42,1.29035,2.64192,1.65291,0.43387,0.51655,0.461,0.32166,1.13487,1.86004,1.73751,5.4831e-05,5.4831e-05,5.4831e-05
21,3091.06,1.12514,2.13901,1.68982,0.45218,0.59121,0.52153,0.37308,1.09542,1.73353,1.68166,4.998e-05,4.998e-05,4.998e-05
22,3231.78,1.09639,2.00762,1.66506,0.48143,0.59409,0.55718,0.39517,1.0839,1.65619,1.67145,4.5129e-05,4.5129e-05,4.5129e-05
23,3371.5,1.07657,1.93923,1.63485,0.52342,0.60424,0.60435,0.43667,1.06786,1.59667,1.648,4.0278e-05,4.0278e-05,4.0278e-05
24,3512.97,1.05046,1.86893,1.60883,0.48875,0.6559,0.63446,0.45647,1.07021,1.54677,1.63167,3.5427e-05,3.5427e-05,3.5427e-05
25,3654.23,1.03699,1.82218,1.59842,0.52274,0.67657,0.66204,0.48177,1.04783,1.50106,1.61854,3.0576e-05,3.0576e-05,3.0576e-05
26,3794.19,1.02795,1.76571,1.58054,0.53138,0.69093,0.68463,0.49878,1.03511,1.45202,1.60648,2.5725e-05,2.5725e-05,2.5725e-05
27,3936.28,1.01462,1.74353,1.58112,0.56923,0.70638,0.71287,0.51839,1.04054,1.42514,1.60926,2.0874e-05,2.0874e-05,2.0874e-05
28,4078.11,1.0026,1.70268,1.56185,0.56854,0.72424,0.72508,0.52978,1.02908,1.40072,1.5996,1.6023e-05,1.6023e-05,1.6023e-05
29,4219.03,0.99379,1.67824,1.55576,0.58207,0.73435,0.73412,0.53815,1.02411,1.38004,1.58935,1.1172e-05,1.1172e-05,1.1172e-05
30,4360.75,0.99467,1.6684,1.55906,0.59025,0.74182,0.74295,0.54356,1.02454,1.37055,1.58993,6.321e-06,6.321e-06,6.321e-06
