                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5594,                  5.499,                 1.9656,                0.25531,                0.23712,                0.18198,                0.10948,                 1.2625,                 2.8031,                 2.0642,             4.8883e-05,             4.8883e-05,             4.8883e-05
                      2,                 1.3074,                 3.3098,                 1.6813,                0.39784,                0.52575,                0.45259,                0.26983,                 1.3132,                 2.0901,                 2.1305,             9.1423e-05,             9.1423e-05,             9.1423e-05
                      3,                 1.2604,                 2.6869,                 1.6352,                0.62298,                0.64791,                 0.7221,                0.46658,                 1.2022,                 1.5534,                 2.0048,             0.00012749,             0.00012749,             0.00012749
                      4,                  1.221,                 2.3544,                 1.6053,                0.76491,                0.74671,                0.84393,                0.57114,                 1.1372,                 1.2214,                 1.9094,             0.00011789,             0.00011789,             0.00011789
                      5,                 1.1823,                 2.0605,                 1.5627,                 0.8236,                0.80084,                0.90085,                0.61462,                 1.1069,                 1.0136,                 1.8754,             0.00010819,             0.00010819,             0.00010819
                      6,                 1.0288,                 1.0963,                 1.7206,                0.91143,                0.90286,                0.96621,                0.67321,                 1.0694,                  0.783,                 1.8166,              9.849e-05,              9.849e-05,              9.849e-05
                      7,                0.97776,                0.84729,                 1.6583,                0.92251,                 0.9404,                0.97784,                0.71336,                 0.9865,                0.64982,                 1.7267,             8.8788e-05,             8.8788e-05,             8.8788e-05
                      8,                 0.9547,                   0.73,                 1.6275,                 0.9646,                0.95137,                0.98672,                0.72584,                0.99303,                0.59036,                 1.7182,             7.9086e-05,             7.9086e-05,             7.9086e-05
                      9,                0.92089,                0.64406,                 1.5977,                0.97358,                0.97697,                0.99132,                0.74047,                0.97265,                0.52972,                 1.7003,             6.9384e-05,             6.9384e-05,             6.9384e-05
                     10,                0.89808,                0.58157,                 1.5712,                 0.9804,                0.98001,                  0.993,                0.75055,                0.93313,                0.49116,                 1.6565,             5.9682e-05,             5.9682e-05,             5.9682e-05
                     11,                0.87688,                0.53687,                  1.551,                0.97936,                0.98172,                0.99284,                0.75404,                0.93032,                0.47026,                 1.6575,              4.998e-05,              4.998e-05,              4.998e-05
                     12,                0.85441,                0.49901,                 1.5248,                0.98469,                0.98708,                0.99356,                0.76064,                0.90355,                0.43844,                  1.623,             4.0278e-05,             4.0278e-05,             4.0278e-05
                     13,                0.83849,                0.46858,                 1.5015,                0.98504,                 0.9889,                0.99327,                0.76332,                0.89543,                0.41822,                 1.6168,             3.0576e-05,             3.0576e-05,             3.0576e-05
                     14,                0.81825,                0.44532,                 1.4851,                0.98962,                0.98962,                0.99362,                0.76745,                0.87945,                0.40507,                 1.6018,             2.0874e-05,             2.0874e-05,             2.0874e-05
                     15,                0.79923,                0.42811,                 1.4647,                0.99192,                0.99063,                0.99357,                0.77277,                0.86917,                0.39389,                 1.5876,             1.1172e-05,             1.1172e-05,             1.1172e-05
