                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5658,                  5.503,                 1.9715,                0.31591,                0.22787,                0.19295,                0.11461,                  1.274,                 2.7132,                 2.0759,             4.8883e-05,             4.8883e-05,             4.8883e-05
                      2,                 1.3067,                 3.2997,                  1.682,                0.46231,                 0.5661,                0.51954,                 0.3221,                 1.2965,                  1.919,                 2.0603,             9.4653e-05,             9.4653e-05,             9.4653e-05
                      3,                 1.2608,                 2.6655,                 1.6321,                0.60152,                0.66374,                0.71547,                0.46378,                 1.2238,                 1.5433,                 2.0359,             0.00013719,             0.00013719,             0.00013719
                      4,                 1.2264,                 2.3448,                  1.609,                0.72338,                0.80742,                0.86135,                0.57549,                 1.1498,                 1.1885,                 1.9302,             0.00013245,             0.00013245,             0.00013245
                      5,                 1.1897,                 2.0685,                 1.5675,                0.80329,                0.83913,                0.92463,                0.63845,                 1.1103,                0.96948,                 1.8982,              0.0001276,              0.0001276,              0.0001276
                      6,                  1.172,                 1.9103,                 1.5531,                0.89818,                0.85784,                0.95201,                0.66229,                 1.0949,                0.84435,                 1.8633,             0.00012275,             0.00012275,             0.00012275
                      7,                 1.1587,                 1.7709,                 1.5356,                0.90558,                0.90392,                0.96369,                0.67612,                 1.0709,                0.78546,                 1.8395,             0.00011789,             0.00011789,             0.00011789
                      8,                 1.1318,                 1.6306,                 1.5218,                0.92683,                0.92161,                0.97615,                0.70447,                 1.0226,                0.69695,                 1.7769,             0.00011304,             0.00011304,             0.00011304
                      9,                 1.1135,                 1.5594,                 1.5045,                0.93989,                 0.9425,                0.98305,                0.71031,                 1.0169,                0.63893,                 1.7595,             0.00010819,             0.00010819,             0.00010819
                     10,                 1.0897,                 1.4596,                 1.4867,                0.93561,                 0.9653,                0.98013,                0.71899,                0.99529,                0.58502,                 1.7237,             0.00010334,             0.00010334,             0.00010334
                     11,                 1.0811,                 1.4011,                  1.474,                 0.9444,                0.96396,                 0.9854,                0.72121,                0.97979,                0.58425,                 1.7133,              9.849e-05,              9.849e-05,              9.849e-05
                     12,                 1.0614,                  1.346,                 1.4616,                 0.9567,                0.98132,                0.99026,                0.72942,                0.97805,                0.53171,                 1.7151,             9.3639e-05,             9.3639e-05,             9.3639e-05
                     13,                 1.0477,                 1.2956,                 1.4599,                0.95892,                0.98259,                0.99201,                0.74157,                0.96266,                0.51735,                 1.7091,             8.8788e-05,             8.8788e-05,             8.8788e-05
                     14,                 1.0475,                 1.2491,                  1.451,                0.97361,                0.98028,                0.99318,                0.73457,                 0.9864,                0.50033,                 1.7081,             8.3937e-05,             8.3937e-05,             8.3937e-05
                     15,                 1.0352,                 1.1999,                 1.4432,                0.98326,                0.97887,                0.99292,                0.74076,                0.95171,                 0.4808,                 1.6778,             7.9086e-05,             7.9086e-05,             7.9086e-05
                     16,                 1.0216,                 1.1837,                 1.4353,                0.97842,                0.98774,                0.99336,                0.75142,                0.93225,                0.45896,                 1.6604,             7.4235e-05,             7.4235e-05,             7.4235e-05
